name,description
All-knowing Greaves,"Greaves set with countless eyes and ears. Worn by Gideon Ofnir, the All-Knowing. Knowledge begins with the recognition of one's ignorance. The realization that the search for knowledge is unending. But when Gideon glimpsed into the will of Queen Marika, he shuddered in fear. At the end that should not be."
All-knowing Armor,"Armor set with countless eyes and ears. Worn by Gideon Ofnir, the All-Knowing. Knowledge begins with the recognition of one's ignorance. The realization that the search for knowledge is unending. But when Gideon glimpsed into the will of Queen Marika, he shuddered in fear. At the end that should not be."
All-knowing Helm,"Helm set with countless eyes and ears. Worn by Gideon Ofnir, the All-Knowing. Knowledge begins with the recognition of one's ignorance. The realization that the search for knowledge is unending. But when Gideon glimpsed into the will of Queen Marika, he shuddered in fear. At the end that should not be."
Alberich's Robe (altered),Lighter version of the Mad Tongue Alberich's robe.
All-knowing Armor (altered),Lighter version of the All-knowing Armor.
Aristocrat Coat,"Tanned leather coat adorned with fine gold embroidery. Travel attire worn by nobles in the capital, and the belonging of a family which claims a knight as an ancestor. Abandoning their birthplace after the Shattering, these undead wanderers are the pitiful product of unending life. "
Aristocrat Garb,"High quality garb adorned with fine golden embroidery. Travel attire worn by nobles in the capital. Terribly faded and tattered. Abandoning their birthplace after the Shattering, these undead wanderers are the pitiful product of unending life."
Aristocrat Garb (altered),Lighter version of the Aristocrat Garb.
All-knowing Gauntlets,"Gauntlets set with countless eyes and ears. Worn by Gideon Ofnir, the All-Knowing. Knowledge begins with the recognition of one's ignorance. The realization that the search for knowledge is unending. But when Gideon glimpsed into the will of Queen Marika, he shuddered in fear. At the end that should not be."
Alberich's Robe,Mad Tongue Alberich's robe.
Azur's Glintstone Robe,A robe reserved for grant masters at the Academy of Raya Lucaria. Corroded by blue-green glintstones.
Battlemage Robe,"Robe worn by scholars of the Raya Lucaria Academy scholar, tattered from being worn on the battlefield."
Banished Knight Armor (altered),Lighter version of the Banished Knight Armor.
Astrologer Robe,"Robe fashioned from supple cloth. Worn by those who look to the cosmos above. They read fate in the stars, and are said to be heirs of the glintstone sorcerers. But alas, the night sky no longer cradles fate."
Bandit Garb,Leather garb worn by bandits.
Astrologer Robe (altered),Lighter version of the Astrologer Robe
Beast Champion Armor,"Silver armor engraved with tiny beasts. Worn by Bernahl the Recusant. Beasts are drawn to champions, and to lords. And this armor befits a champion worthy of becoming a lord. And that is what Bernahl was. Until his maiden threw herself into the fire. "
Black Knife Armor,"Scale armor used by the Black Knife Assassins, forged to make no sound. Traces of power yet remain in its concealing veil, which muffles the sound of footsteps. The assassins that carried out the deeds of the Night of the Black Knives were all women, and rumored to be Numen who had close ties with Marika herself. "
Beast Champion Armor (altered),Lighter version of the  Best Champion Armor
Banished Knight Armor,"Thick, full set of armor covering the entire body. This armor was worn by knights who, whether by misfortune or misdeed, were forced to abandon their homes. These fierce warriors were each and all accomplished. Perhaps that is why, despite their territorial losses, they were still named knights."
Black Knife Armor (altered),Lighter version of the Black Knife Armor
Bloodsoaked Tabard,Padded cloth armor with indelible bloodstains around the neck. Worn by headless foot soldiers who endlessly guard the Wandering Mausoleum.
Bloodhound Knight Armor (altered),Lighter version of the Bloodhound Knight Armor
Blaidd's Armor (altered),Lighter version of the Blaidd's Armor
Bloodhound Knight Armor,Metal armor with a jutting breastplate.  Worn by the Bloodhound Knights. 
Blackflame Monk Armor,Black iron armor adorned with ashen cloth.
Blaidd's Armor,Well-worn black armor of the man-wolf Blaidd
Blue Silver Mail Armor (altered),Lighter version of the Blue Silver Mail Armor
Blue Festive Garb,"Ceremonial garb worn by dancers at the festivities in Dominula, the village of windmills. Use of this garb, dyed in a stunning blue, is only permitted for the young maids who play the central role in the festival."
Blue Cloth Vest,"Vest of a nomadic warrior. The blue color of its fabric symbolizes brisk waters, as fluid and flowing as the sword in the hand of its wearer. Just as still waters turn foul, stagnation leads to decay. Warriors must remain ever drifting. "
Blue Silver Mail Armor,"Chainmail armor crafted with blue silver. Worn by the wolf-riding Albinauric archers. Blue silver is a metal born from the same mother as the archers themselves, and provides protection from magic and frost."
Brave's Battlewear,"Battlewear fashioned from leather armor adorned with a large sheet of cloth. Garb worn by warriors of the frigid uplands The red cloth signifies participation in the Long March long, long ago and this ceremonial garb beseeches the favor of the Warrior King who led them."
Briar Armor (altered),Lighter version of the Briar Armor
Carian Knight Armor,"Armor of the enchanted knights that once served the Carian royal family. The enchanted knights, anointed by the Lunar Queen, were heroes of the highest honors, but fell into disarray with the decline of the royal family."
Briar Armor,Battered iron armor from a foreign land. Worn by Elemer of the Briar. 
Carian Knight Armor (altered),Lighter version of the Carian Knight Armor
Brave's Battlewear (altered),Lighter version of the Brave's Battlewear
Chain Armor,"Armor made of woven chain. Standard issue for ordinary soldiers. Though plain in appearance, it offers dependable protection."
Champion Pauldron,"Pauldron reserved for the badlands' bravest. Proof that the wearer has slaughtered countless foes. Following the example of their chieftain Hoarah Loux, the brave warriors of the badlands shun excess adornment."
Bull-goat Armor,"Great Horned Tragoth's armor. Covers its wearer with a pair of giant horns, providing staunch poise. "
Chain-draped Tabard,Padded cloth armor with a chainmail shawl draped over the shoulders. Widely issued to foot soldiers in a lord's army. 
Cloth Garb,"Clothing made of coarse material, commonly worn in the Lands Between. "
Cleanrot Armor (altered),Lighter version of the Cleanrot Armor
Commoner's Garb (altered),Lighter version of the Commoner's Garb
Cleanrot Armor,"Armor of the Cleanrot Knights, celebrated for their undefeated campaign in the Shattering. The Cleanrot Knights vowed to fight alongside Malenia, despite the inevitable, if gradual, putrefaction of their flesh. Their acceptance of their fate made these battles fiercest of all."
Commoner's Garb,Garb with a thick embroidered cape attached. Standard wear for commoners of the Lands Between.
Confessor Armor (altered),Lighter version of the Confessor Armor
Confessor Armor,"Black leather armor for blending in with the darkness. Worn by church confessors. The churches outside the Lands Between, dedicated to the teachings of the Two Fingers, send confessors out to follow the guidance of grace. The confessors are loyal servants to the Two Fingers, ready to hunt down and quietly dispose of their enemies."
Commoner's Simple Garb,"Garb with a modest cloth cape attached. Standard wear for commoners of the Lands Between. The board hung from the neck depicts a sprawling tree, its roots and branches forming two holes. This is a self-imposed shackle, a voluntary display of allegiance to the Erdtree that increases faith. "
Commoner's Simple Garb (altered),Lighter version of the Commoner's Simple Garb
Consort's Robe,"Fine robe of white silk worn by Tanith, Lady of the Volcano Manor."
Crucible Axe Armor,"Armor of the Crucible Knights who served Godfrey, the first Elden Lord. Worn by the knight Ordovis and his men. Holds the power of the crucible of life, the primordial form of the Erdtree. Strengthens Aspects of the Crucible incantations. "
Corhyn's Robe,"Robe of Corhyn the cleric. Even after exile, Corhyn refused to recant his prophecies. And for this, he was blessed with the guidance of grace. Since then, the cart wheel draped on his neck has served as a reminder. That true guidance awaits those with iron wills. Those with unwavering faith."
Crucible Tree Armor,"Armor of the Crucible Knights who served Godfrey, the first Elden Lord. Worn by the knight Siluria and her men. Holds the power of the crucible of life, the primordial form of the Erdtree. Strengthens Aspects of the Crucible incantations. "
Crucible Axe Armor (altered),Lighter version of the Crucible Axe Armor
Crucible Tree Armor (altered),Lighter version of the Crucible Tree Armor
Cuckoo Surcoat,"Armor worn by Raya Lucaria Academy soldiers. The surcoat depicts twinned cuckoos peering into a flourishing mass of glintstone. To a glintstone sorcerer, the body is a transient thing. The Cuckoo alone knows its insignificance, yet watches over it all the same."
Cuckoo Knight Armor,Armor worn by Raya Lucaria Academy knights.
Cuckoo Knight Armor (altered),Lighter version of the Cuckoo Knight Armor
Deathbed Dress,"Extremely thin and sheer white dress worn by the Deathbed Companion as she embraces the dead. Slowly replenishes the HP of nearby allies, but not that of the wearer. The touch of the fabric is exceedingly soft, so as not to harm even the most withered corpse, while still sharing her warmth. "
Depraved Perfumer Robe,Robe worn by depraved perfumers. The embroidery on the apron is itself a curse upon the Erdtree. These heresy-inclined perfumers imbibe their own spices to alter body and mind. Their slow descent into self-destruction is  what earned them their name.
Drake Knight Armor,Black iron armor worn by drake knights. Features the spoils of a dragon catch as an emblem of pride as both dragon hunter and partake of communion. The cape is crafted with dragon wing membrane.
Drake Knight Armor (altered),Lighter version of the Drake Knight Armor
Depraved Perfumer Robe (altered),Lighter version of the Depraved Perfumer Robe
Elden Lord Armor (altered),Lighter version of the Elden Lord Armor
Elden Lord Armor,"Armor of Godfrey the first Elden Lord. The age of the Erdtree began amongst conflict, when Godfrey was lord of the battlefield. He led the War against the Giants. Faced the Storm Lord, alone. And then, there came a moment. When his last worthy enemy fell. And it was then, as the story is told, that the hue of Lord Godfrey's eyes faded."
Dirty Chainmail,Chainmail worn by young Albinaurics. The appearance of a protruding belly provides no benefits worthy of note.
Errant Sorcerer Robe,"Commonplace robe made of thick cloth. Worn by the Errant Sorcerer Wilhelm, one of the first Tarnished to visit Roundtable Hold. A silent seeker of sorcery, who had gone so far as to make contact with the primeval current, Wilhelm was led by guidance into confrontation with his friend Vargram, and it is said that he was then taken prisoner in Roundtable Hold."
Erdtree Surcoat,Armor worn by soldiers sworn to defend the royal capital of Leyndell. The surcoat bears a majestic likeness of the Erdtree. Its golden backing is an honor bestowed on no other soldiers.
Eccentric's Armor,"Unusually colorful armor. Worn by the knight Jerren. Jerren preferred a nomadic existence, but after spending time as guest of the Carian royals, he became a guest commander for General Radahn. And for the first time, the restless tumbleweed would be bound by honorable oath"
Eye Surcoat,Brown surcoat draped over chainmail. 
Festive Garb,"Ceremonial garb worn by dancers at the festivities in Dominula, the village of windmills. Faintly bloodstained."
Errant Sorcerer Robe (altered),Lighter version of the Errant Sorcerer Robe.
Festive Garb (altered),Lighter version of the  Festive Garb.
Fia's Robe,"Robe of black cloth that covers the entire body. Worn by Fia, the Deathbed Companion, on her journey after being exiled from her home."
Fell Omen Cloak,"""A cloak of ragged fur worn about the exposed body of Margit, the Fell Omen."
Exile Armor,Damaged armor draped with a large deep-red cloth. Worn by soldiers sent to the penal colonies.
Finger Maiden Robe (altered),Lighter version of the Finger Maiden Robe.
Finger Maiden Robe,"Robe worn by maidens who serve the Two Fingers. The maidens live to serve a chosen Tarnished, sharing their guidance and the wisdom of the Two Fingers. "
Fingerprint Armor,"Iron armor singed and blistered by fingers. Worn by Vyke, knight of the Roundtable Hold. No other Tarnished was closer to the throne of the Elden Lord than Vyke. But without announcement, Vyke traveled far below the capital, and was scorched by the flame of frenzy. Did he make his choice for his maiden, or did some other force lure him with suggestion?"
Fingerprint Armor (altered),Lighter version of the Fingerprint Armor.
Fur Raiment,"Raiment fashioned from a bristly pelt. Worn by ancestral follower warriors. The ancestral followers keep their distance from the Erdtree, awaiting new buds. They are certain to sprout from their very flesh, and indeed, their souls."
Gelmir Knight Armor,Armor worn by knights once royal to Praector Rykard.
Gelmir Knight Armor (altered),Lighter version of the Gelmir Knight Armor.
Fire Prelate Armor,"Black iron armor adorned with a red cloth. Attire of the Fire Prelates, commanders of the Fire Monks."
Godrick Knight Armor,Armor worn by knights loyal to Godrick The Grafted.
Godksin Noble Robe,"Robe made by sewing together patches of smooth skin. Subcutaneous fat makes it plump and soft. Worn by Godskin Nobles known for their seven-face aprons. Strengthens the Noble Presence incantation. Nobles are the most ancient apostles who are said to have assimilated inhuman physiology. Not unlike the crucible, the Erdtree in its primordial form."
Fire Prelate Armor (altered),Lighter version of the Fire Prelate Armor.
Foot Soldier Tabard,Padded cloth armor with more than a few stains. Widely issued to foot soldiers in a lord's army.
Fire Monk Armor,Black iron armor adorned with a red cloth. Attire of the Fire Monks. 
Godrick Knight Armor (altered),Lighter version of the Godric Knight Armor.
Goldmask's Rags,Worn rags that just barely cover the body. Lord Goldmask felt no draw to the vain excess of clothing; what use is finery to one who seeks greater brilliance?
Gravekeeper Cloak,"Defensive wear encircled by bronze snakes. Worn by gladiators who were driven from the colosseum. The wearer becomes a slightly easier target for foes. The snake is viewed as a traitor to the Erdtree, and the audience delighted in seeing these bronze effigies beaten and battered."
Godskin Apostle Robe,Robe made by sewing together patches of smooth skin.
Haligtree Crest Surcoat,"Armor worn by soldiers sworn to the Haligtree. The surcoat bears the crest of the Haligtree. Though watered with Miquella's own blood since it was a sapling, the Haligtree ultimately failed to grow into an Erdtree. "
Gravekeeper Cloak (altered),Lighter version of the Gravekeeper Cloak.
Guardian Garb,Engraved golden garb. Worn by guardians of the Minor Erdtree.
Haligtree Knight Armor,Armor worn by knights sworn the Haligtree.
Guardian Garb (full Bloom),"Engraved golden garb. Worn by the guardians of the Minor Erdtrees. Raises the HP recovery effects of the Flask of Crimson Tears, but greatly lowers fire damage negation. It is said that the blood-red flowers blooming on their backs mark the senescence of their ancient pact. Perhaps the guardians are part tree already"
Haligtree Knight Armor (altered),Lighter version of the Haligtree Knight Armor.
High Page Clothes,Clothes of a page selected for special privileges by the noble they serve.
Highwayman Cloth Armor,Hideously stained and ragged cloth armor. Worn by former foot soldiers who have turned to banditry.
High Page Clothes (altered),Lighter version of the High Page Clothes.
Hoslow's Armor,"Garish silver armor decorated with red embellishments. Passed down through the Hoslow family. When Juno Hoslow received an invitation to the Volcano Manor, he discreetly refused. ""I have already walked many a road drenched in blood, yet never would I consider myself a champion."""
Ivory-draped Tabard,Padded cloth armor with a shawl in the color of ivory draped over the shoulders. Worn by foot soldiers sworn to the Haligtree.
Knight Armor,"Iron armor of an unknown knight. It is made of thin iron plate. Such metal armor is heavy, but provides considerable damage negation."
Juvenile Scholar Robe,"Robe worn by young academy scholars, the juveniles birthed anew by the amber egg of Queen Rennala, the head of Raya Lucaria Academy. Yet their rebirth is not without imperfections, and thus do they repeat the process, eventually becoming utterly dependent upon it. Rebirth is as sleep to them, and with each awakening, memory fades into oblivion. "
Kaiden Armor,Armor worn by Kaiden sellswords.
Land Of Reeds Armor,"Armor made from strips of iron fastened together. Worn by warriors of the Land of Reeds. The Land of Reeds has long been locked in a miserable civil war, during which time it has remained alienated from the cultures of its neighbors. Little wonder that the entire nation has succumbed to blood-soaked madness, or so it is said."
Hoslow's Armor (altered),Lighter version of the Hoslow's Armor.
Lazuli Robe,"Robe worn by scholars of the Lazuli Conspectus, singular among the greater Raya Lucaria Academy. These scholars, who sought to master Carian sorcery, instead learned to see the moon as equal to the stars. This robe, in the hue of the full moon, signifies their heresy."
Leather Armor,Lightweight and battle-proven leather armor worn by a savvy soldier.
Leather-draped Tabard,Padded cloth armor with a leather shawl draped over the shoulders.
Lionel's Armor (altered),Lighter version of the Lionel's Armor.
Leyndell Knight Armor (altered),Lighter version of the Leyndell Knight Armor.
Leyndell Knight Armor,"Armor worn by knights sworn to defend the royal capital of Leyndell. Its left breast is emblazoned with a symbol of Erdtree Worship, said to have once been imbued with an incantation of protection."
Lionel's Armor,Round iron armor with a banner extending from its back. Worn by the Lionel the Lionhearted. 
Lord Of Blood's Robe,"Attire of Mohg, Lord of Blood, embroidered with an extravagant gold emblem on black cloth. The dress of a Luminary, the reigning lord and hierarch of the coming dynasty of Mohgwyn. Or perhaps, of a raving lunatic."
Lusat's Robe,A robe reserved for grand masters at the Academy of Raya Lucaria. Corroded by blue glintstones.
Lord Of Blood's Robe (altered),Lighter version of the Lord Of Blood's Robe.
Malenia's Armor,"Armor made of unalloyed gold. Worn by Malenia, Blade of Miquella. Malenia awaited Miquella at the foot of the husk. ""My brother will keep his promise. He possesses the wisdom, the allure, of a god - he is the most fearsome Empyrean of all."""
Maliketh's Armor (altered),Lighter version of the Maliketh's Armor.
Malenia's Armor (altered),Lighter version of the Maleinia's Armor.
Malformed Dragon Armor,"Malformed golden armor. Adorned with various dragon imagery and worn by the misshapen Tree Sentinels. After the great ancient dragon Gransax attacked, the sentinels had an epiphany. The only way to truly protect the Erdtree was to become dragons themselves. "
Maliketh's Armor,"Beast's armor made of black iron and decorated with gold. Worn by Maliketh the Black Blade. Maliketh, Queen Marika's loyal half-brother, bore a blade imbued with Destined Death, and there was not one demigod who did not fear him. Champions knew what was at stake. Indeed, that is what made them champions. "
Marionette Soldier Armor,"Armor of metal bands arranged in a lattice. Worn by marionette soldiers, crafted to serve the sorcerers. The construction of this armor is remarkably crude, now rusted over and severely dented. For a doll, the only thing that matters is that it does not break."
Marais Robe,Robe with a black mantle across the shoulders. Customarily worn by the head of House Marais. The sons of House Marais are all sickly born. Little wonder that Maleigh Marais would be so beguiled by the beautiful and fierce goddess who was born into rot. 
Mausoleum Knight Armor,"Armor worn by headless knights who endlessly guard the Wandering Mausoleum. The wing-shaped ornaments on its back evoke the Deathbird. A self-inflicted curse that ties the spirits of these loyal knights to the land, having willingly beheaded themselves so that they may serve theirs masters in death."
Mausoleum Surcoat,Armor worn by headless soldiers who endlessly guard the Wandering Mausoleum.
Mausoleum Knight Armor (altered),Lighter version of the Mausoleum Knight Armor
Mushroom Body,"Mushrooms found growing all over the body. These overgrown mushroom have colonized the torso. To those enraptured by the scarlet rot, they are holy vestments that root one to the earth."
Nomadic Merchant's Finery (altered),Lighter version of the Nomadic Merchant's Finery
Night's Cavalry Armor (altered),Lighter version of the Night's Cavalry Armor
Night's Cavalry Armor,Pitch-black armor thinly painted with dried blood. Worn by the Night's Cavalry who ride funeral steeds.
Night Maiden Armor,"Armor worn by the nightmaidens of the Eternal City. Indicates the highest clerical rank, and includes a silk cape. Long ago, the Nox invoked the ire of the Greater Will, and were banished deep underground. Now they live under a false night sky, in eternal anticipation of their liege. Of the coming age of the stars. And their Lord of Night."
Nomadic Merchant's Finery,Finery of the nomadic merchants. 
Noble's Traveling Garb,"Traveling attire fashioned from metallic white silk thread. Worn by expatriated royalty. A gift of such rare beauty, a royal wouldn't disgrace their illustrious heritage even if found dead, in a ditch, in the middle of nowhere, while wearing such splendid raiment."
Nox Monk Armor,"Armor worn by the monks of the Eternal City, with a silk cape attached. Long ago, the Nox invoked the ire of the Greater Will, and were banished deep underground. Now they live under a false night sky, in eternal anticipation of their liege. Of the coming age of the stars. And their Lord of Night."
Nox Swordstress Armor (altered),Lighter version of the Nox Swordstress Armor.
Nox Monk Armor (altered),Lighter version of the Nox Monk Armor.
