name,description
Abductor Virgins,Deadly mechanical constructs who wield massive blades.
"Alecto, Black Knife Ringleader",Remarkably agile and aggressive warrior. Dangerous even for those with shield coverage...
Alecto Black Knife Ringleader,Remarkably agile and aggressive warrior. Dangerous even for those with shield coverage...
Alabaster Lord,An Evergaol prisoner wielding a vicious sword and the void with murderous intent.
"Adan, Thief Of Fire","An evergaol prisoner and former battle mage, Adan wields a spiked flail and uses stolen knowledge of fire magic to great effect."
Ancient Dragon Lansseax,Lansseax was the sister of Fortissax. It is said that she took the from of a human to commune with the knights as a priestess of the ancient dragon cult.
Ancestor Spirit,"A glowing spirit that takes the form of a large deer, making it a menacing threat when charging at targets."
Ancient Hero Of Zamor,"Noticeably agile, frost-made creature suceptible to magic attacks."
Beast Clergyman,"Temporarily overtaken by their bestial rage, the Beast Clergyman attacks ferociously, throwing rocks and themselves at their foes. Calm their aggression and return them to their senses."
"Astel, Stars Of Darkness","A hostile, massive Dragon-Fly creature. Menacing and extremely powerful."
Beast Of Farum Azula,Underground-living creature found at Groveside Cave
Beastman Of Farum Azula,The beasts of Groveside Cave rally around the prowess of the Beastman of Farum Azula
Bell Bearing Hunter,"Menacing and slow-paced, it wields a large, red-glowing sword and a shield combined with a full body armor and a chilling cape."
Black Blade Kindred,Imposing Gargoyle wielding a massive armament
Black Knife Assassin,Relentless and agile dark figures carrying a 
Bloodhound Knight Darriwil,"The merciless bloodhounds attack with grace and agility, never backing down or giving a moment's rest."
Burial Tree Watchdog,"A large feline-hound looking guardian that serves as a ""Watchdog""for the Burial Tree of the Stormfoot Catacombs."
Cleanrot Knight,"Powerful, dexterous Knight capable of distanced, very rapid attacks. Its spear and sword are a threat to any light-armored fighter."
Borealis The Freezing Fog,"Frost Dragon guarding the frozen lake of Mountaintop of Giants, emits a permanent blizzard."
Commander Niall,"Commander Niall is a tall and built knight with a peg leg, clad in heavy armor, wielding a halberd that doubles as a battle standard. He is accompanied by two Spectral Banished Knights, one equipped with dual swords and the other equipped with a sword and shield."
Commander O'neil,"A large and imposing human commander who wields a halberd that doubles as a battle standard, rousing his spirit minions to battle with unquenchable fervor."
Crucible Knight Ordovis,"Large, heavy and fully armored. With the ability to materialize fiery wings and attack from above. Attacks with the huge power of Ordivis's Greatsword and a Greatshield. Slow, but extremely tough and highly dangerous."
